ID,Ranking
500antoniopalomba,0
500mauritaalberson,1
500vinasarra,2
500cheriseparrott,3
500donnettearnott,4
500jeredullum,5
500ciraadank,6
500teishanair,7
500valerycasarz,8
500markusbali,9
500roxanakachermeyer,10
500byronstrassel,11
500simonarevelo,12
500catricestmartin,13
500ellansurvant,14
500chrystaloutten,15
500shalonkronberg,16
500domoniquekaminski,17
500erynkittelberger,18
500shanegeorgiadis,19
500sookschnoke,20
500jadeunknown,21
500regenanewquist,22
500leathabellion,23
500arlettevelaquez,24
500codyquinton,25
500leonorbattiste,26
500christiruggle,27
500giannapennino,28
500milagrosspriggs,29
500lucianahasselkus,30
500laureenbroadnay,31
